,conv1 filters,conv2 filters,conv3 filters,accuracy,runtime,switch probability,temperature
0,51,100,200,30.90277777777778,18.753012657165527,-1,0.997
1,50,100,200,32.98611111111111,16.655643701553345,-1,0.994009
2,50,100,201,32.98611111111111,17.25164270401001,-1,0.991026973
3,50,100,202,30.208333333333332,19.142427682876587,0.9723598905218311,0.988053892081
4,50,101,202,34.375,16.7952721118927,-1,0.985089730404757
5,49,101,202,31.944444444444443,17.328590393066406,0.9756284580760051,0.9821344612135428
6,49,101,203,37.15277777777778,17.29528784751892,-1,0.9791880578299021
7,50,101,203,39.93055555555556,16.636909008026123,-1,0.9762504936564125
8,50,101,202,34.72222222222222,17.33587336540222,0.9480477787369188,0.9733217421754432
9,50,101,203,30.208333333333332,16.66708755493164,0.9049396394236682,0.9704017769489168
10,50,102,203,36.80555555555556,16.6724853515625,0.9683098439471135,0.9674905716180701
11,50,103,203,35.41666666666667,17.473605394363403,0.954416006587163,0.9645880999032158
12,50,102,203,34.02777777777778,17.12087059020996,0.9406399833843639,0.9616943356035061
13,50,103,203,35.06944444444444,16.52409267425537,0.9507089007281758,0.9588092525966956
14,49,103,203,38.19444444444444,16.73048162460327,0.9820559959400774,0.9559328248389055
15,49,104,203,33.68055555555556,16.333970546722412,0.9367103558353481,0.9530650263643888
16,50,104,203,39.58333333333333,18.92427897453308,0.9963634119688877,0.9502058312852957
17,50,105,203,35.06944444444444,17.35649347305298,0.9501280572082823,0.9473552137914398
